Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-7044.34	-7457.38	413.0398	0.8665065	0.469855	0.171009	0.255236	0.103899	1.397166	6.030636
6	-7042.258	-7455.522	413.2635	1.013675	0.422727	0.215405	0.237891	0.123977	1.41754	5.815687
12	-7064.534	-7478.172	413.638	0.9106699	0.449373	0.267482	0.142981	0.140164	1.515201	5.613992
18	-7037.302	-7450.512	413.2103	0.9124394	0.419547	0.292447	0.157145	0.130861	1.474351	5.869598
24	-7035.921	-7447.335	411.4139	0.8167726	0.417354	0.290918	0.156323	0.135405	1.32283	6.979651
30	-7042.084	-7454.937	412.8526	0.9234281	0.532718	0.226477	0.100888	0.139917	1.34952	6.126697
36	-7042.371	-7455.332	412.9607	0.8909281	0.495593	0.182978	0.157435	0.163994	1.338338	6.092037
42	-7033.755	-7442.785	409.0307	0.9830001	0.485349	0.240677	0.101584	0.172391	1.237297	8.20996
48	-7046.957	-7456.883	409.9257	1.004539	0.407211	0.222216	0.211405	0.159168	1.237055	7.721074
54	-7024.366	-7441.896	417.5304	1.002598	0.560506	0.164161	0.0778483	0.197485	1.881743	3.148913
60	-7026.608	-7444.327	417.7197	0.9391224	0.506791	0.193596	0.169924	0.129689	1.915222	3.054246
66	-7036.54	-7454.51	417.9704	1.004355	0.567193	0.167501	0.154491	0.110815	1.946055	2.845176
72	-7054.84	-7468.108	413.2676	1.022496	0.585088	0.0992773	0.119536	0.196099	1.384739	5.826576
78	-7046.809	-7457.43	410.6213	1.0929	0.522924	0.229901	0.0719106	0.175264	1.274901	7.281504
84	-7026.508	-7444.02	417.5119	0.9630716	0.489141	0.202983	0.110801	0.197075	1.668163	3.309712
90	-7029.34	-7446.957	417.6173	0.9724002	0.564142	0.192051	0.113786	0.130021	1.645021	3.255636
96	-7022.553	-7439.795	417.2414	1.143939	0.66671	0.0697923	0.147958	0.115539	1.72838	3.328612
102	-7026.47	-7443.813	417.3438	1.153267	0.671391	0.125958	0.0747672	0.127883	1.765016	3.241352
108	-7040.793	-7456.763	415.9697	1.016789	0.561496	0.19508	0.121189	0.122235	1.600833	4.207543
114	-7030.968	-7446.575	415.6073	0.9031171	0.518416	0.219781	0.148947	0.112857	1.671366	4.437569
120	-7034.371	-7447.338	412.9666	0.8300546	0.516162	0.228959	0.163859	0.0910192	1.332955	6.12611
126	-7035.734	-7450.007	414.2734	0.8278805	0.472428	0.285757	0.154731	0.0870845	1.409441	5.369717
132	-7021.166	-7436.154	414.9878	1.049942	0.60272	0.116234	0.197405	0.0836413	1.560371	4.76447
138	-7034.221	-7446.21	411.9886	0.9268902	0.553409	0.222215	0.147577	0.0767983	1.293395	6.624056
144	-7038.546	-7449.882	411.3365	0.92871	0.417956	0.241235	0.240621	0.100188	1.226422	7.01105
150	-7031.609	-7444.61	413.0015	0.9484733	0.535501	0.182161	0.179478	0.10286	1.356646	6.027842
156	-7038.409	-7453.732	415.3228	0.8908452	0.518735	0.148185	0.246181	0.0868996	1.518083	4.690466
162	-7056.163	-7469.001	412.8374	0.9104882	0.48898	0.167529	0.221928	0.121562	1.429107	6.098824
168	-7053.394	-7466.003	412.6088	0.9704966	0.519261	0.190796	0.151498	0.138445	1.397439	6.207294
174	-7049.08	-7463.26	414.1806	1.035439	0.473555	0.249785	0.145496	0.131164	1.585491	5.207064
180	-7035.638	-7450.521	414.8832	1.022281	0.504734	0.239727	0.129657	0.125883	1.676823	4.773144
186	-7035.134	-7450.105	414.9707	0.9957399	0.543566	0.220931	0.119491	0.116013	1.619139	4.771272
192	-7027.799	-7443.132	415.3329	0.9498636	0.528993	0.241818	0.116287	0.112902	1.631153	4.587645
198	-7033.901	-7448.609	414.7077	0.8737082	0.419483	0.273613	0.191999	0.114904	1.553577	5.023379
204	-7051.444	-7467.275	415.8317	0.9822188	0.490684	0.139632	0.260408	0.109275	1.693155	4.253058
210	-7041.854	-7455.886	414.0319	0.8709077	0.482728	0.296324	0.122304	0.0986433	1.498056	5.429362
216	-7046.573	-7460.797	414.2239	0.9835087	0.46314	0.307616	0.143728	0.0855157	1.746952	5.122405
222	-7047.923	-7462.856	414.9332	1.052493	0.532172	0.150872	0.191649	0.125307	1.499578	4.827462
228	-7043.772	-7458.283	414.5111	1.065126	0.550703	0.136367	0.198323	0.114607	1.534619	5.035956
234	-7055.523	-7470.776	415.2525	1.054723	0.465717	0.264005	0.153392	0.116885	1.562007	4.612757
240	-7044.861	-7458.637	413.7758	1.008678	0.551287	0.108643	0.223591	0.116479	1.571275	5.452986
246	-7046.729	-7461.514	414.7849	0.9952064	0.485257	0.215404	0.19681	0.102528	1.526088	4.927009
252	-7032.851	-7447.149	414.2978	0.9952064	0.484766	0.210799	0.177419	0.127016	1.547596	5.185359
258	-7044.99	-7459.422	414.432	0.9582616	0.526269	0.160263	0.175578	0.13789	1.55986	5.124845
264	-7044.752	-7459.083	414.3309	0.8771955	0.491268	0.196106	0.163901	0.148725	1.614162	5.196617
270	-7045.151	-7460.174	415.0223	1.025302	0.479947	0.160166	0.249963	0.109924	1.604027	4.734399
276	-7052.204	-7467.56	415.3558	0.9600512	0.491865	0.165346	0.25617	0.0866193	1.58271	4.596216
282	-7046.703	-7461.862	415.159	0.9524486	0.585131	0.143271	0.196543	0.0750549	1.642645	4.677228
288	-7034.124	-7447.751	413.6265	1.072096	0.507149	0.159389	0.211067	0.122394	1.577767	5.497042
294	-7034.764	-7450.358	415.5939	0.8995978	0.49881	0.183104	0.196616	0.121471	1.593313	4.491064
300	-7022.27	-7438	415.73	0.8614301	0.531575	0.195131	0.143844	0.129449	1.630985	4.415377
306	-7035.348	-7449.571	414.223	0.8644934	0.464975	0.273513	0.14828	0.113231	1.553754	5.296884
312	-7026.115	-7441.113	414.9987	0.8644934	0.534618	0.20383	0.148303	0.113248	1.531789	4.878939
318	-7023.377	-7435.987	412.6096	1.002308	0.431061	0.241181	0.185843	0.141915	1.449739	6.161036
324	-7025.839	-7439.549	413.7095	0.9919807	0.449601	0.204186	0.193836	0.152377	1.499003	5.538357
330	-7025.828	-7438.12	412.2913	0.9250325	0.489796	0.237261	0.106944	0.166	1.47867	6.36073
336	-7034.15	-7446.204	412.0533	0.9160424	0.458444	0.267356	0.118825	0.155374	1.384086	6.545963
342	-7030.019	-7442.474	412.4551	0.9424782	0.536598	0.207942	0.117794	0.137666	1.397367	6.306308
348	-7026.103	-7440.037	413.9334	0.8753704	0.564918	0.158968	0.138323	0.137791	1.405208	5.5321
354	-7013.307	-7427.444	414.1373	1.016876	0.543899	0.203745	0.142938	0.109418	1.482465	5.298154
360	-7021.257	-7435.513	414.2556	0.9670901	0.536065	0.16114	0.183825	0.11897	1.53336	5.232231
366	-7045.47	-7458.564	413.0931	0.9087909	0.533458	0.196527	0.183608	0.0864074	1.364257	5.995786
372	-7023.898	-7436.811	412.9128	1.044702	0.558774	0.2038	0.118774	0.118653	1.407797	5.995786
378	-7038.954	-7452.259	413.3052	1.132681	0.641942	0.0805536	0.139842	0.137662	1.452352	5.709968
384	-7026.439	-7440.512	414.0728	0.8561104	0.533418	0.145626	0.244168	0.0767883	1.434692	5.450131
390	-7039.466	-7455.523	416.0575	0.9526274	0.545909	0.22975	0.0906307	0.13371	1.746346	4.111565
396	-7046.926	-7462.634	415.7077	0.9488175	0.51326	0.222894	0.129346	0.1345	1.803847	4.279689
402	-7028.478	-7442.908	414.4299	0.9570923	0.536204	0.248389	0.0837561	0.131651	1.521993	5.147691
408	-7025.959	-7440.54	414.5809	0.9121486	0.424518	0.269957	0.131414	0.174111	1.488634	5.107817
414	-7022.033	-7436.722	414.6888	0.9592774	0.53515	0.194534	0.14069	0.129626	1.556734	4.98355
420	-7037.178	-7451.598	414.42	0.9629204	0.46759	0.225659	0.19349	0.113261	1.444672	5.19267
426	-7023.179	-7438.375	415.1964	0.9054107	0.50122	0.224334	0.161686	0.112759	1.474473	4.777147
432	-7042.897	-7458.269	415.3714	1.067471	0.506513	0.236973	0.111453	0.145061	1.613676	4.509963
438	-7049.395	-7465.178	415.7835	1.067847	0.540964	0.202634	0.104628	0.151775	1.650902	4.256157
444	-7038.316	-7452.481	414.1652	0.9746975	0.459223	0.159239	0.25098	0.130557	1.462991	5.316821
450	-7041.677	-7456.928	415.2518	1.022356	0.528031	0.200711	0.134183	0.137075	1.689049	4.559861
456	-7025.814	-7442.664	416.8498	0.9781607	0.514583	0.206429	0.138006	0.140981	1.736032	3.647892
462	-7046.246	-7456.087	409.841	0.7902896	0.479704	0.170469	0.265793	0.0840336	1.336962	7.830445
468	-7023.642	-7433.445	409.8032	0.884833	0.498263	0.177065	0.237388	0.0872848	1.276369	7.830445
474	-7030.992	-7441.929	410.9378	0.9452318	0.580931	0.183913	0.097941	0.137215	1.181811	7.240405
480	-7024.948	-7436.119	411.1709	0.9452318	0.484511	0.224408	0.154866	0.136214	1.425995	6.983672
486	-7014.558	-7428.723	414.1654	0.9791845	0.471665	0.23	0.158726	0.139609	1.50953	5.288507
492	-7021.636	-7435.723	414.0871	0.891891	0.60924	0.134846	0.136157	0.119758	1.454443	5.41102
498	-7030.205	-7444.581	414.3758	1.099478	0.561507	0.189261	0.102632	0.1466	1.523184	5.098728
504	-7055.111	-7472.121	417.0101	0.9101295	0.538103	0.150374	0.179256	0.132267	1.852004	3.527468
510	-7051.788	-7466.548	414.7598	0.9243397	0.52314	0.160655	0.191648	0.124557	1.652081	4.910733
516	-7044.335	-7459.488	415.1527	0.8749683	0.517373	0.247561	0.150825	0.0842412	1.584317	4.757668
522	-7035.141	-7453.417	418.2765	0.8686181	0.37001	0.275123	0.223517	0.131351	1.96478	2.731354
528	-7032.82	-7451.265	418.4454	0.9350703	0.564564	0.221762	0.0602845	0.153389	2.012809	2.555552
534	-7030.913	-7448.163	417.2494	1.033618	0.528125	0.241277	0.111716	0.118882	1.935593	3.265171
540	-7028.993	-7445.544	416.5504	0.9658465	0.584574	0.14871	0.135127	0.131589	1.659047	3.872075
546	-7024.881	-7440.46	415.5786	1.047535	0.574301	0.151378	0.140371	0.13395	1.659184	4.378616
552	-7025.403	-7441.884	416.4809	1.035612	0.584242	0.15654	0.12295	0.136269	1.65059	3.8768
558	-7036.342	-7453.246	416.9046	1.024751	0.56214	0.191393	0.116902	0.129565	1.74573	3.583403
564	-7043.044	-7455.965	412.9212	0.8796961	0.541737	0.174656	0.190932	0.0926751	1.499999	6.031783
570	-7026.112	-7438.028	411.9155	0.9961334	0.541737	0.174656	0.190932	0.0926751	1.335221	6.603128
576	-7022.78	-7434.651	411.8703	0.9578923	0.518153	0.167053	0.18262	0.132174	1.264388	6.686627
582	-7031.395	-7442.976	411.5818	0.9650267	0.528299	0.176397	0.145137	0.150168	1.321964	6.807471
588	-7014.248	-7424.31	410.0614	0.9072918	0.550883	0.171874	0.18525	0.0919921	1.28088	7.677709
594	-7024.005	-7434.335	410.3306	0.992552	0.527853	0.164689	0.177506	0.129952	1.275716	7.490134
600	-7050.411	-7463.651	413.2397	0.979475	0.523215	0.163227	0.175946	0.137613	1.22944	5.950208
606	-7053.458	-7464.738	411.2796	0.9937149	0.501527	0.22631	0.191561	0.0806011	1.217455	7.011113
612	-7050.053	-7469.013	418.9599	1.0341	0.483215	0.289731	0.102072	0.124982	2.251943	2.008555
618	-7057.098	-7476.172	419.0743	0.8891965	0.486814	0.257761	0.114826	0.140599	2.284006	2.008555
624	-7051.518	-7464.202	412.6842	0.8977632	0.583563	0.150598	0.167297	0.0985426	1.367115	6.223049
630	-7027.009	-7440.468	413.4594	0.8851163	0.447067	0.199959	0.222132	0.130842	1.409932	5.783977
636	-7033.393	-7445.028	411.6358	0.8988182	0.483694	0.252116	0.122628	0.141561	1.298259	6.827502
642	-7038.156	-7448.576	410.4198	0.9284784	0.587948	0.155706	0.148694	0.107652	1.316409	7.455212
648	-7013.583	-7424.051	410.4688	0.9242281	0.510179	0.14945	0.18798	0.152392	1.271731	7.455212
654	-7016.093	-7425.569	409.4764	0.9242281	0.566301	0.154309	0.221139	0.0582507	1.152084	8.049596
660	-7034.08	-7443.989	409.9092	0.9742186	0.530434	0.144536	0.223697	0.101333	1.183646	7.774703
666	-7038.957	-7449.962	411.0053	0.9092358	0.497966	0.1969	0.210004	0.0951307	1.237116	7.194144
672	-7018.45	-7430.472	412.0224	0.9397134	0.534451	0.182812	0.194932	0.087805	1.310968	6.589202
678	-7014.973	-7429.715	414.7423	0.8678052	0.594809	0.173487	0.133983	0.0977212	1.429576	5.076372
684	-7015.064	-7426.543	411.4794	1.041986	0.509858	0.243798	0.151937	0.0944074	1.375128	6.792537
690	-7020.507	-7433.19	412.6837	0.837045	0.477725	0.208986	0.24214	0.0711494	1.391279	6.244304
696	-7015.12	-7426.946	411.8257	0.8582986	0.526155	0.158068	0.242322	0.073455	1.295797	6.748861
702	-7034.995	-7447.634	412.6389	0.8466415	0.451919	0.157269	0.348025	0.0427871	1.429512	6.242438
